study,year,location,state,n_spray,brand_name,mean_sev,mean_yld,v_sev,v_yld,yld_check,v_yld_check,sev_check,v_sev_check,vi_yld,n2,n3,design
354,2018,CAMPO VERDE,MT,4,PICO + TEBU,38,2834.75,43.47974839466099,51066.68903318904,2032,51066.68903318904,82.4,43.47974839466099,12766.67225829726,9,9,1
354,2018,CAMPO VERDE,MT,4,TFLX + CYPR,45.7,2494.5,43.47974839466099,51066.68903318904,2032,51066.68903318904,82.4,43.47974839466099,12766.67225829726,9,9,1
354,2018,CAMPO VERDE,MT,4,PICO + BENZ,14.399999999999999,3500.5,43.47974839466099,51066.68903318904,2032,51066.68903318904,82.4,43.47974839466099,12766.67225829726,9,9,1
355,2018,PRIMAVERA DO LESTE,MT,3,PICO + CYPR,25,3361.1,13.850468975468871,58833.82472402631,2931.225,58833.82472402631,53.25,13.850468975468871,14708.456181006577,9,9,1
355,2018,PRIMAVERA DO LESTE,MT,3,PYRA + EPOX + FLUX,12.25,3571.5,13.850468975468871,58833.82472402631,2931.225,58833.82472402631,53.25,13.850468975468871,14708.456181006577,9,9,1
355,2018,PRIMAVERA DO LESTE,MT,3,AACHECK,53.25,2931.225,13.850468975468871,58833.82472402631,2931.225,58833.82472402631,53.25,13.850468975468871,14708.456181006577,9,9,1
355,2018,PRIMAVERA DO LESTE,MT,3,AZOX + BENZ,15,3518.025,13.850468975468871,58833.82472402631,2931.225,58833.82472402631,53.25,13.850468975468871,14708.456181006577,9,9,1
355,2018,PRIMAVERA DO LESTE,MT,3,TFLX + PROT,15.5,3649.975,13.850468975468871,58833.82472402631,2931.225,58833.82472402631,53.25,13.850468975468871,14708.456181006577,9,9,1
355,2018,PRIMAVERA DO LESTE,MT,3,BIXF + TFLX + PROT,9.5,3818.025,13.850468975468871,58833.82472402631,2931.225,58833.82472402631,53.25,13.850468975468871,14708.456181006577,9,9,1
355,2018,PRIMAVERA DO LESTE,MT,3,PICO + TEBU,18.75,3587.475,13.850468975468871,58833.82472402631,2931.225,58833.82472402631,53.25,13.850468975468871,14708.456181006577,9,9,1
355,2018,PRIMAVERA DO LESTE,MT,3,TFLX + CYPR,22,3349.275,13.850468975468871,58833.82472402631,2931.225,58833.82472402631,53.25,13.850468975468871,14708.456181006577,9,9,1
355,2018,PRIMAVERA DO LESTE,MT,3,PICO + BENZ,10.5,3706.225,13.850468975468871,58833.82472402631,2931.225,58833.82472402631,53.25,13.850468975468871,14708.456181006577,9,9,1
