study,year,location,state,n_spray,brand_name,mean_sev,mean_yld,v_sev,v_yld,yld_check,v_yld_check,sev_check,v_sev_check,log_sev,vi_sev,n2,n3,design
319,2017,LUCAS DO RIO VERDE,MT,4,AZOX + BENZ,15,2465.25,10.36710239651415,21112.618464052106,1650.5,21112.618464052106,76.5,10.36710239651415,2.70805020110221,0.011519002662793501,9,9,1
319,2017,LUCAS DO RIO VERDE,MT,4,TFLX + PROT,11.25,2473.25,10.36710239651415,21112.618464052106,1650.5,21112.618464052106,76.5,10.36710239651415,2.4203681286504293,0.020478226956077334,9,9,1
319,2017,LUCAS DO RIO VERDE,MT,4,BIXF + TFLX + PROT,9,2700.5,10.36710239651415,21112.618464052106,1650.5,21112.618464052106,76.5,10.36710239651415,2.1972245773362196,0.03199722961887083,9,9,1
319,2017,LUCAS DO RIO VERDE,MT,4,PICO + TEBU,19,2304.75,10.36710239651415,21112.618464052106,1650.5,21112.618464052106,76.5,10.36710239651415,2.9444389791664403,0.007179433792599828,9,9,1
319,2017,LUCAS DO RIO VERDE,MT,4,TFLX + CYPR,17.5,2170,10.36710239651415,21112.618464052106,1650.5,21112.618464052106,76.5,10.36710239651415,2.8622008809294686,0.008462940731848285,9,9,1
319,2017,LUCAS DO RIO VERDE,MT,4,PICO + BENZ,14.25,2489,10.36710239651415,21112.618464052106,1650.5,21112.618464052106,76.5,10.36710239651415,2.6567569067146595,0.012763437853510804,9,9,1
320,2017,NOVA XAVANTINA,MT,3,PICO + CYPR,10.3,1908,27.929419934640308,55990.54221132912,1722.75,55990.54221132912,50.05,27.929419934640308,2.33214389523559,0.0658153924371767,9,9,1
320,2017,NOVA XAVANTINA,MT,3,PYRA + EPOX + FLUX,0.6,1932.25,27.929419934640308,55990.54221132912,1722.75,55990.54221132912,50.05,27.929419934640308,-0.5108256237659907,19.395430510166882,9,9,1
320,2017,NOVA XAVANTINA,MT,3,AACHECK,50.05,1722.75,27.929419934640308,55990.54221132912,1722.75,55990.54221132912,50.05,27.929419934640308,3.9130225057612296,0.0027873644771452635,9,9,1
320,2017,NOVA XAVANTINA,MT,3,AZOX + BENZ,0.675,1986.25,27.929419934640308,55990.54221132912,1722.75,55990.54221132912,50.05,27.929419934640308,-0.3930425881096072,15.324784600625682,9,9,1
320,2017,NOVA XAVANTINA,MT,3,TFLX + PROT,12.2,1959.5,27.929419934640308,55990.54221132912,1722.75,55990.54221132912,50.05,27.929419934640308,2.501435951739211,0.046911817949879586,9,9,1
320,2017,NOVA XAVANTINA,MT,3,BIXF + TFLX + PROT,7.725,2089.25,27.929419934640308,55990.54221132912,1722.75,55990.54221132912,50.05,27.929419934640308,2.044461822783809,0.11700514211053638,9,9,1
320,2017,NOVA XAVANTINA,MT,3,PICO + TEBU,8.75,1847.25,27.929419934640308,55990.54221132912,1722.75,55990.54221132912,50.05,27.929419934640308,2.169053700369523,0.09119810590902958,9,9,1
320,2017,NOVA XAVANTINA,MT,3,TFLX + CYPR,12.2,1691,27.929419934640308,55990.54221132912,1722.75,55990.54221132912,50.05,27.929419934640308,2.501435951739211,0.046911817949879586,9,9,1
320,2017,NOVA XAVANTINA,MT,3,PICO + BENZ,1.175,2166,27.929419934640308,55990.54221132912,1722.75,55990.54221132912,50.05,27.929419934640308,0.16126814759612232,5.057387041129978,9,9,1
321,2017,PRIMAVERA DO LESTE,MT,3,PICO + CYPR,42.5,3559,43.75708061002174,145509.570533769,2738.25,145509.570533769,81.75,43.75708061002174,3.7495040759303713,0.00605634333702723,9,9,1
321,2017,PRIMAVERA DO LESTE,MT,3,PYRA + EPOX + FLUX,27.5,3494.5,43.75708061002174,145509.570533769,2738.25,145509.570533769,81.75,43.75708061002174,3.3141860046725258,0.014465150614883219,9,9,1
321,2017,PRIMAVERA DO LESTE,MT,3,AACHECK,81.75,2738.25,43.75708061002174,145509.570533769,2738.25,145509.570533769,81.75,43.75708061002174,4.403665809777363,0.0016368648583647743,9,9,1
321,2017,PRIMAVERA DO LESTE,MT,3,AZOX + BENZ,29.25,3720,43.75708061002174,145509.570533769,2738.25,145509.570533769,81.75,43.75708061002174,3.3758795736778655,0.012786056135589667,9,9,1
321,2017,PRIMAVERA DO LESTE,MT,3,TFLX + PROT,31.25,3941,43.75708061002174,145509.570533769,2738.25,145509.570533769,81.75,43.75708061002174,3.4420193761824107,0.011201812636165565,9,9,1
321,2017,PRIMAVERA DO LESTE,MT,3,BIXF + TFLX + PROT,23.75,4250.5,43.75708061002174,145509.570533769,2738.25,145509.570533769,81.75,43.75708061002174,3.1675825304806504,0.019393719937959773,9,9,1
321,2017,PRIMAVERA DO LESTE,MT,3,PICO + TEBU,36.25,3255.25,43.75708061002174,145509.570533769,2738.25,145509.570533769,81.75,43.75708061002174,3.590439381300684,0.008324771578601044,9,9,1
